target_1,target_2,correlation
hr_reactivity_mean_across_matches,hr_reactivity_mean_across_matches,1
hr_peak_reactivity_mean_across_matches,hr_reactivity_mean_across_matches,0.9949484890907303
hr_gameplay_sd_mean_across_matches,hr_reactivity_mean_across_matches,0.4887690043347954
hr_recovery_delta_mean_across_matches,hr_reactivity_mean_across_matches,-0.9670124410819239
hr_reactivity_mean_across_matches,hr_peak_reactivity_mean_across_matches,0.9949484890907303
hr_peak_reactivity_mean_across_matches,hr_peak_reactivity_mean_across_matches,1
hr_gameplay_sd_mean_across_matches,hr_peak_reactivity_mean_across_matches,0.5737910401464029
hr_recovery_delta_mean_across_matches,hr_peak_reactivity_mean_across_matches,-0.9648311103053291
hr_reactivity_mean_across_matches,hr_gameplay_sd_mean_across_matches,0.4887690043347954
hr_peak_reactivity_mean_across_matches,hr_gameplay_sd_mean_across_matches,0.5737910401464029
hr_gameplay_sd_mean_across_matches,hr_gameplay_sd_mean_across_matches,1
hr_recovery_delta_mean_across_matches,hr_gameplay_sd_mean_across_matches,-0.4951930717553944
hr_reactivity_mean_across_matches,hr_recovery_delta_mean_across_matches,-0.9670124410819239
hr_peak_reactivity_mean_across_matches,hr_recovery_delta_mean_across_matches,-0.9648311103053291
hr_gameplay_sd_mean_across_matches,hr_recovery_delta_mean_across_matches,-0.4951930717553944
hr_recovery_delta_mean_across_matches,hr_recovery_delta_mean_across_matches,1
