predictor,correlation,target,abs_correlation
positive_affect_t1,-0.15888598825714342,hr_gameplay_sd_mean_across_matches,0.15888598825714342
gad2_t1,0.12803910014484693,hr_gameplay_sd_mean_across_matches,0.12803910014484693
ress_engagement_t1,0.10469302663517148,hr_gameplay_sd_mean_across_matches,0.10469302663517148
alexithymia_t1,-0.10030844003521701,hr_gameplay_sd_mean_across_matches,0.10030844003521701
body_awareness_t1,-0.0996958396424397,hr_gameplay_sd_mean_across_matches,0.0996958396424397
flourishing_t1,-0.07972338554109959,hr_gameplay_sd_mean_across_matches,0.07972338554109959
ebq_positive_usefulness_t1,-0.07745426559686282,hr_gameplay_sd_mean_across_matches,0.07745426559686282
self_esteem_t1,-0.07080414127997078,hr_gameplay_sd_mean_across_matches,0.07080414127997078
negative_affect_t1,0.06308464549780754,hr_gameplay_sd_mean_across_matches,0.06308464549780754
ress_distraction_t1,0.06223645607533853,hr_gameplay_sd_mean_across_matches,0.06223645607533853
positive_affect_t1,-0.11432914928880349,hr_peak_reactivity_mean_across_matches,0.11432914928880349
stress_debilitating_mindset_t1,0.0960397509103579,hr_peak_reactivity_mean_across_matches,0.0960397509103579
ress_distraction_t1,0.08501510905115316,hr_peak_reactivity_mean_across_matches,0.08501510905115316
ebq_positive_controllability_t1,0.0835238093032815,hr_peak_reactivity_mean_across_matches,0.0835238093032815
phq2_t1,-0.0824541970131393,hr_peak_reactivity_mean_across_matches,0.0824541970131393
ebq_negative_controllability_t1,0.08018433997892169,hr_peak_reactivity_mean_across_matches,0.08018433997892169
gad2_t1,0.0726579762732718,hr_peak_reactivity_mean_across_matches,0.0726579762732718
flourishing_t1,-0.058143800238789976,hr_peak_reactivity_mean_across_matches,0.058143800238789976
body_awareness_t1,0.04945067197503617,hr_peak_reactivity_mean_across_matches,0.04945067197503617
ress_suppression_t1,0.045534582548062925,hr_peak_reactivity_mean_across_matches,0.045534582548062925
positive_affect_t1,-0.10253583738871348,hr_reactivity_mean_across_matches,0.10253583738871348
stress_debilitating_mindset_t1,0.09641419701092478,hr_reactivity_mean_across_matches,0.09641419701092478
phq2_t1,-0.09202214466534851,hr_reactivity_mean_across_matches,0.09202214466534851
ebq_negative_controllability_t1,0.08508019911862712,hr_reactivity_mean_across_matches,0.08508019911862712
ress_distraction_t1,0.08283244108508633,hr_reactivity_mean_across_matches,0.08283244108508633
ebq_positive_controllability_t1,0.08283086648258087,hr_reactivity_mean_across_matches,0.08283086648258087
body_awareness_t1,0.06517593087945397,hr_reactivity_mean_across_matches,0.06517593087945397
gad2_t1,0.06245852754237347,hr_reactivity_mean_across_matches,0.06245852754237347
flourishing_t1,-0.05234112034309795,hr_reactivity_mean_across_matches,0.05234112034309795
ress_suppression_t1,0.0505916357279683,hr_reactivity_mean_across_matches,0.0505916357279683
stress_debilitating_mindset_t1,-0.1182225870705759,hr_recovery_delta_mean_across_matches,0.1182225870705759
phq2_t1,0.10306041374210913,hr_recovery_delta_mean_across_matches,0.10306041374210913
positive_affect_t1,0.1004821870240472,hr_recovery_delta_mean_across_matches,0.1004821870240472
gad2_t1,-0.06677368908346161,hr_recovery_delta_mean_across_matches,0.06677368908346161
ebq_negative_controllability_t1,-0.06529436446314546,hr_recovery_delta_mean_across_matches,0.06529436446314546
ress_distraction_t1,-0.05915070597753215,hr_recovery_delta_mean_across_matches,0.05915070597753215
ebq_positive_controllability_t1,-0.056544078163779814,hr_recovery_delta_mean_across_matches,0.056544078163779814
flourishing_t1,0.05324852232134515,hr_recovery_delta_mean_across_matches,0.05324852232134515
body_awareness_t1,-0.04894592092891398,hr_recovery_delta_mean_across_matches,0.04894592092891398
fixed_mindset_t1,0.03974447515681014,hr_recovery_delta_mean_across_matches,0.03974447515681014
