predictor,coefficient,target,model,abs_importance,direction
gad2_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
phq2_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
flourishing_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
swls3_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
stress_debilitating_mindset_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
fixed_mindset_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
gaming_disorder_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
alexithymia_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
body_awareness_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
ebq_negative_controllability_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
ebq_positive_controllability_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
ebq_negative_usefulness_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
ebq_positive_usefulness_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
positive_affect_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
negative_affect_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
ress_relaxation_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
ress_engagement_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
ress_rumination_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
ress_reappraisal_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
ress_distraction_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
ress_suppression_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
self_esteem_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
health_t1,0,hr_reactivity_mean_across_matches,Elastic Net,0,zero
gad2_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
phq2_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
flourishing_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
swls3_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
stress_debilitating_mindset_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
fixed_mindset_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
gaming_disorder_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
alexithymia_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
body_awareness_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
ebq_negative_controllability_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
ebq_positive_controllability_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
ebq_negative_usefulness_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
ebq_positive_usefulness_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
positive_affect_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
negative_affect_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
ress_relaxation_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
ress_engagement_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
ress_rumination_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
ress_reappraisal_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
ress_distraction_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
ress_suppression_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
self_esteem_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
health_t1,0,hr_peak_reactivity_mean_across_matches,Elastic Net,0,zero
alexithymia_t1,-0.08695802153235845,hr_gameplay_sd_mean_across_matches,Elastic Net,0.08695802153235845,negative
positive_affect_t1,-0.08581210165653691,hr_gameplay_sd_mean_across_matches,Elastic Net,0.08581210165653691,negative
gad2_t1,0.06095319838201275,hr_gameplay_sd_mean_across_matches,Elastic Net,0.06095319838201275,positive
body_awareness_t1,-0.05608585825763715,hr_gameplay_sd_mean_across_matches,Elastic Net,0.05608585825763715,negative
ress_engagement_t1,0.05582011315988777,hr_gameplay_sd_mean_across_matches,Elastic Net,0.05582011315988777,positive
ebq_positive_usefulness_t1,-0.04995180844777551,hr_gameplay_sd_mean_across_matches,Elastic Net,0.04995180844777551,negative
ebq_positive_controllability_t1,0.04450481360872634,hr_gameplay_sd_mean_across_matches,Elastic Net,0.04450481360872634,positive
