target,model,rmse,mae,rsq
hr_gameplay_sd_mean_across_matches,XGBoost,0.8492446596419042,0.6742786326253447,0.0060685971188249
hr_gameplay_sd_mean_across_matches,Baseline mean,0.8518707138367811,0.6711853304188103,-8.782255085537649e-5
hr_gameplay_sd_mean_across_matches,Random Forest,0.8583390648231974,0.7030133002837322,-0.01533304360660237
hr_gameplay_sd_mean_across_matches,Elastic Net,0.8722366449942345,0.6996435334202162,-0.04847823680739882
hr_gameplay_sd_mean_across_matches,Linear regression,0.9637173415967396,0.7843711201458989,-0.27994147178484274
hr_peak_reactivity_mean_across_matches,XGBoost,5.622439169837278,4.466792322956503,-0.01621178016041802
hr_peak_reactivity_mean_across_matches,Baseline mean,5.638127140596671,4.505192288016683,-0.02189064716301914
hr_peak_reactivity_mean_across_matches,Elastic Net,5.638127140596671,4.505192288016683,-0.02189064716301914
hr_peak_reactivity_mean_across_matches,Random Forest,5.7677034212479175,4.572941795591324,-0.06940087572265186
hr_peak_reactivity_mean_across_matches,Linear regression,6.2811272456094365,4.875309881338807,-0.26826462009619645
hr_reactivity_mean_across_matches,XGBoost,5.322580696839912,4.244551787035854,-0.02062553120587229
hr_reactivity_mean_across_matches,Baseline mean,5.333966294918958,4.285621278761776,-0.02499666673390632
hr_reactivity_mean_across_matches,Elastic Net,5.333966294918958,4.285621278761776,-0.02499666673390632
hr_reactivity_mean_across_matches,Random Forest,5.444473945644361,4.3284079815355705,-0.06790781968759396
hr_reactivity_mean_across_matches,Linear regression,5.929278974373226,4.5831828515529835,-0.2665597659937764
hr_recovery_delta_mean_across_matches,XGBoost,5.393223341789574,4.497612367288654,-0.01920494477286172
hr_recovery_delta_mean_across_matches,Elastic Net,5.4133589287120225,4.558527796575849,-0.02682955010255972
hr_recovery_delta_mean_across_matches,Baseline mean,5.413358928712023,4.558527796575849,-0.02682955010255972
hr_recovery_delta_mean_across_matches,Random Forest,5.554612658402334,4.633080994195283,-0.08111593875850964
hr_recovery_delta_mean_across_matches,Linear regression,6.062898887404302,4.9131457145205495,-0.2880281716226276
