predictor,importance,target,model,abs_importance
ebq_positive_usefulness_t1,-0.2772713273470478,hr_reactivity_mean_across_matches,Random Forest,0.2772713273470478
phq2_t1,0.2515383388581951,hr_reactivity_mean_across_matches,Random Forest,0.2515383388581951
alexithymia_t1,-0.18630325175960952,hr_reactivity_mean_across_matches,Random Forest,0.18630325175960952
ebq_positive_controllability_t1,0.13646007949369982,hr_reactivity_mean_across_matches,Random Forest,0.13646007949369982
ress_engagement_t1,-0.13002111482293668,hr_reactivity_mean_across_matches,Random Forest,0.13002111482293668
ress_distraction_t1,0.12079404659616992,hr_reactivity_mean_across_matches,Random Forest,0.12079404659616992
negative_affect_t1,0.11766465058230974,hr_reactivity_mean_across_matches,Random Forest,0.11766465058230974
flourishing_t1,0.1168421934872516,hr_reactivity_mean_across_matches,Random Forest,0.1168421934872516
swls3_t1,0.11108640209127191,hr_reactivity_mean_across_matches,Random Forest,0.11108640209127191
ress_rumination_t1,-0.10297507647669787,hr_reactivity_mean_across_matches,Random Forest,0.10297507647669787
ress_suppression_t1,-0.0989605272674999,hr_reactivity_mean_across_matches,Random Forest,0.0989605272674999
ebq_negative_usefulness_t1,-0.08926127872316854,hr_reactivity_mean_across_matches,Random Forest,0.08926127872316854
ress_relaxation_t1,-0.08144012040089867,hr_reactivity_mean_across_matches,Random Forest,0.08144012040089867
gad2_t1,0.06380610753553966,hr_reactivity_mean_across_matches,Random Forest,0.06380610753553966
health_t1,0.04343548696361945,hr_reactivity_mean_across_matches,Random Forest,0.04343548696361945
stress_debilitating_mindset_t1,-0.04078261736429719,hr_reactivity_mean_across_matches,Random Forest,0.04078261736429719
self_esteem_t1,0.03604865627376182,hr_reactivity_mean_across_matches,Random Forest,0.03604865627376182
ebq_negative_controllability_t1,0.02864710965381746,hr_reactivity_mean_across_matches,Random Forest,0.02864710965381746
positive_affect_t1,0.013604963714253668,hr_reactivity_mean_across_matches,Random Forest,0.013604963714253668
gaming_disorder_t1,-0.010214112998185637,hr_reactivity_mean_across_matches,Random Forest,0.010214112998185637
fixed_mindset_t1,-0.009151387272273397,hr_reactivity_mean_across_matches,Random Forest,0.009151387272273397
ress_reappraisal_t1,-0.008572209640186191,hr_reactivity_mean_across_matches,Random Forest,0.008572209640186191
body_awareness_t1,0.0012286476086367949,hr_reactivity_mean_across_matches,Random Forest,0.0012286476086367949
phq2_t1,0.24927538916760575,hr_peak_reactivity_mean_across_matches,Random Forest,0.24927538916760575
ebq_negative_controllability_t1,0.21264778306465942,hr_peak_reactivity_mean_across_matches,Random Forest,0.21264778306465942
ebq_positive_usefulness_t1,-0.20458947209418302,hr_peak_reactivity_mean_across_matches,Random Forest,0.20458947209418302
negative_affect_t1,0.20366426857441827,hr_peak_reactivity_mean_across_matches,Random Forest,0.20366426857441827
ress_rumination_t1,-0.1825588992255086,hr_peak_reactivity_mean_across_matches,Random Forest,0.1825588992255086
ebq_positive_controllability_t1,0.17425557962741817,hr_peak_reactivity_mean_across_matches,Random Forest,0.17425557962741817
ress_distraction_t1,0.16984172655753474,hr_peak_reactivity_mean_across_matches,Random Forest,0.16984172655753474
