predictor,gain,cover,frequency,target,model,abs_importance
body_awareness_t1,0.3666985930551084,0.35,0.35,hr_reactivity_mean_across_matches,XGBoost,0.3666985930551084
phq2_t1,0.33304017896713245,0.32,0.32,hr_reactivity_mean_across_matches,XGBoost,0.33304017896713245
flourishing_t1,0.17138129671348615,0.18,0.18,hr_reactivity_mean_across_matches,XGBoost,0.17138129671348615
stress_debilitating_mindset_t1,0.052360689904950665,0.06,0.06,hr_reactivity_mean_across_matches,XGBoost,0.052360689904950665
ress_distraction_t1,0.051023332173056345,0.06,0.06,hr_reactivity_mean_across_matches,XGBoost,0.051023332173056345
negative_affect_t1,0.01728168379815245,0.02,0.02,hr_reactivity_mean_across_matches,XGBoost,0.01728168379815245
swls3_t1,0.008214225388113606,0.01,0.01,hr_reactivity_mean_across_matches,XGBoost,0.008214225388113606
phq2_t1,0.2460374776720541,0.2289348171701113,0.23,hr_peak_reactivity_mean_across_matches,XGBoost,0.2460374776720541
body_awareness_t1,0.16002067834786263,0.1524786818904466,0.15,hr_peak_reactivity_mean_across_matches,XGBoost,0.16002067834786263
ress_distraction_t1,0.1413765354545092,0.1497326203208556,0.15,hr_peak_reactivity_mean_across_matches,XGBoost,0.1413765354545092
stress_debilitating_mindset_t1,0.10449122076855345,0.10887893240834418,0.11,hr_peak_reactivity_mean_across_matches,XGBoost,0.10449122076855345
ebq_positive_controllability_t1,0.09193956628896131,0.0908127378715614,0.09,hr_peak_reactivity_mean_across_matches,XGBoost,0.09193956628896131
swls3_t1,0.06808205665075999,0.0706749530278942,0.07,hr_peak_reactivity_mean_across_matches,XGBoost,0.06808205665075999
negative_affect_t1,0.0637259158182009,0.059594353712000774,0.06,hr_peak_reactivity_mean_across_matches,XGBoost,0.0637259158182009
ebq_negative_usefulness_t1,0.03738787569046465,0.03936021583080407,0.04,hr_peak_reactivity_mean_across_matches,XGBoost,0.03738787569046465
ebq_negative_controllability_t1,0.03516020833457473,0.039504745387098326,0.04,hr_peak_reactivity_mean_across_matches,XGBoost,0.03516020833457473
alexithymia_t1,0.026590997133864085,0.02953220600279424,0.03,hr_peak_reactivity_mean_across_matches,XGBoost,0.026590997133864085
flourishing_t1,0.01782093255527957,0.020234137881196705,0.02,hr_peak_reactivity_mean_across_matches,XGBoost,0.01782093255527957
ress_reappraisal_t1,0.007366535284915361,0.010261598496892614,0.01,hr_peak_reactivity_mean_across_matches,XGBoost,0.007366535284915361
fixed_mindset_t1,0.1790306325637938,0.06185476815398075,0.10294117647058823,hr_gameplay_sd_mean_across_matches,XGBoost,0.1790306325637938
positive_affect_t1,0.16357736567971198,0.21202974628171478,0.15808823529411764,hr_gameplay_sd_mean_across_matches,XGBoost,0.16357736567971198
alexithymia_t1,0.16104979997639748,0.23140857392825898,0.17647058823529413,hr_gameplay_sd_mean_across_matches,XGBoost,0.16104979997639748
gad2_t1,0.09280293450847535,0.14085739282589677,0.10294117647058823,hr_gameplay_sd_mean_across_matches,XGBoost,0.09280293450847535
ebq_positive_controllability_t1,0.08292047201603782,0.05380577427821522,0.05514705882352941,hr_gameplay_sd_mean_across_matches,XGBoost,0.08292047201603782
negative_affect_t1,0.08075234645252674,0.0910323709536308,0.09558823529411764,hr_gameplay_sd_mean_across_matches,XGBoost,0.08075234645252674
ress_suppression_t1,0.07196053731901762,0.03241469816272966,0.0661764705882353,hr_gameplay_sd_mean_across_matches,XGBoost,0.07196053731901762
flourishing_t1,0.049300603089767726,0.05255905511811024,0.08823529411764706,hr_gameplay_sd_mean_across_matches,XGBoost,0.049300603089767726
swls3_t1,0.03061403495070661,0.015463692038495187,0.025735294117647058,hr_gameplay_sd_mean_across_matches,XGBoost,0.03061403495070661
body_awareness_t1,0.023831035300617177,0.04560367454068241,0.03676470588235294,hr_gameplay_sd_mean_across_matches,XGBoost,0.023831035300617177
ress_engagement_t1,0.0182377063820935,0.01721347331583552,0.01838235294117647,hr_gameplay_sd_mean_across_matches,XGBoost,0.0182377063820935
ebq_negative_usefulness_t1,0.014735872281366283,0.005249343832020997,0.025735294117647058,hr_gameplay_sd_mean_across_matches,XGBoost,0.014735872281366283
ebq_positive_usefulness_t1,0.011680110715842261,0.024059492563429572,0.01838235294117647,hr_gameplay_sd_mean_across_matches,XGBoost,0.011680110715842261
ress_reappraisal_t1,0.008755497863323514,0.005774278215223097,0.014705882352941176,hr_gameplay_sd_mean_across_matches,XGBoost,0.008755497863323514
ebq_negative_controllability_t1,0.005515779056588653,0.0035870516185476813,0.003676470588235294,hr_gameplay_sd_mean_across_matches,XGBoost,0.005515779056588653
gaming_disorder_t1,0.0033269028019611672,0.005643044619422572,0.007352941176470588,hr_gameplay_sd_mean_across_matches,XGBoost,0.0033269028019611672
ress_distraction_t1,0.0019083690417722866,0.0014435695538057743,0.003676470588235294,hr_gameplay_sd_mean_across_matches,XGBoost,0.0019083690417722866
phq2_t1,0.2181235435204259,0.20904615384615385,0.21,hr_recovery_delta_mean_across_matches,XGBoost,0.2181235435204259
stress_debilitating_mindset_t1,0.1975178032175733,0.16947692307692308,0.17,hr_recovery_delta_mean_across_matches,XGBoost,0.1975178032175733
ress_reappraisal_t1,0.09669544671994597,0.09230769230769231,0.09,hr_recovery_delta_mean_across_matches,XGBoost,0.09669544671994597
swls3_t1,0.0888734021182019,0.1075076923076923,0.11,hr_recovery_delta_mean_across_matches,XGBoost,0.0888734021182019
body_awareness_t1,0.08697327958248403,0.1008,0.1,hr_recovery_delta_mean_across_matches,XGBoost,0.08697327958248403
ebq_negative_usefulness_t1,0.06764804894870881,0.0696,0.07,hr_recovery_delta_mean_across_matches,XGBoost,0.06764804894870881
ress_distraction_t1,0.06294811768562013,0.06067692307692308,0.06,hr_recovery_delta_mean_across_matches,XGBoost,0.06294811768562013
ebq_positive_controllability_t1,0.03188454409191007,0.03175384615384615,0.03,hr_recovery_delta_mean_across_matches,XGBoost,0.03188454409191007
fixed_mindset_t1,0.03009277904706374,0.030584615384615384,0.03,hr_recovery_delta_mean_across_matches,XGBoost,0.03009277904706374
negative_affect_t1,0.023473886670421478,0.019261538461538462,0.02,hr_recovery_delta_mean_across_matches,XGBoost,0.023473886670421478
self_esteem_t1,0.018229789589657073,0.018646153846153847,0.02,hr_recovery_delta_mean_across_matches,XGBoost,0.018229789589657073
alexithymia_t1,0.017880698072975206,0.020246153846153848,0.02,hr_recovery_delta_mean_across_matches,XGBoost,0.017880698072975206
ebq_negative_controllability_t1,0.015949682495309682,0.01956923076923077,0.02,hr_recovery_delta_mean_across_matches,XGBoost,0.015949682495309682
ebq_positive_usefulness_t1,0.012225602119358839,0.009784615384615385,0.01,hr_recovery_delta_mean_across_matches,XGBoost,0.012225602119358839
gaming_disorder_t1,0.009236621483943754,0.010215384615384616,0.01,hr_recovery_delta_mean_across_matches,XGBoost,0.009236621483943754
ress_relaxation_t1,0.008845455621580612,0.011015384615384616,0.01,hr_recovery_delta_mean_across_matches,XGBoost,0.008845455621580612
positive_affect_t1,0.006848660535348282,0.010215384615384616,0.01,hr_recovery_delta_mean_across_matches,XGBoost,0.006848660535348282
gad2_t1,0.006552638479471212,0.009292307692307692,0.01,hr_recovery_delta_mean_across_matches,XGBoost,0.006552638479471212
