target,model,rmse_condition_0,rmse_condition_1,mae_condition_0,mae_condition_1,mean_residual_condition_0,mean_residual_condition_1,rmse_diff_smi_minus_control,mae_diff_smi_minus_control,mean_residual_diff_smi_minus_control
hr_gameplay_sd_mean_across_matches,Baseline mean,0.8488331879029932,0.8550016262518855,0.6394698061370323,0.7039944934689256,0.04579772377707425,-0.031135997160493017,0.006168438348892247,0.06452468733189332,-0.07693372093756727
hr_gameplay_sd_mean_across_matches,Elastic Net,0.8906564708073369,0.8527630680697382,0.6900677735122799,0.7095494919456675,0.06883585818791939,0.004721814921938369,-0.03789340273759867,0.01948171843338764,-0.06411404326598102
hr_gameplay_sd_mean_across_matches,Linear regression,0.9948839042669345,0.9303780519337355,0.7887724245605924,0.7798180466134574,0.08036185221589606,0.05887418271235868,-0.06450585233319905,-0.00895437794713494,-0.02148766950353738
hr_gameplay_sd_mean_across_matches,Random Forest,0.8626549255969387,0.8538514253822622,0.6752807762715659,0.7317021182273525,0.01251867087854779,-0.05590031942338385,-0.008803500214676463,0.05642134195578663,-0.06841899030193165
hr_gameplay_sd_mean_across_matches,XGBoost,0.8588856174023219,0.8391547042127716,0.6457795521213969,0.7037604400432218,0.05327752237821889,0.0019535276339590736,-0.019730913189550336,0.057980887921824875,-0.05132399474425981
hr_peak_reactivity_mean_across_matches,Baseline mean,5.786630918868066,5.4802694994845504,4.524930436843109,4.484773513368655,-0.3617584865376438,-1.3046328245719983,-0.30636141938351535,-0.040156923474453876,-0.9428743380343545
hr_peak_reactivity_mean_across_matches,Elastic Net,5.786630918868066,5.4802694994845504,4.524930436843109,4.484773513368655,-0.3617584865376438,-1.3046328245719983,-0.30636141938351535,-0.040156923474453876,-0.9428743380343545
hr_peak_reactivity_mean_across_matches,Linear regression,6.499943287668269,6.04643846941886,5.1929581875839554,4.546708185223135,-0.34279781149570837,-0.6819708759265616,-0.45350481824940836,-0.6462500023608202,-0.3391730644308532
hr_peak_reactivity_mean_across_matches,Random Forest,6.012420570240981,5.503107990723293,4.805487128212078,4.332377658397441,-0.3420961672912625,-1.078551139938424,-0.5093125795176885,-0.473109469814637,-0.7364549726471614
hr_peak_reactivity_mean_across_matches,XGBoost,5.791417430225826,5.442115572911989,4.518317231123991,4.413490693817723,-0.353237205612547,-1.213991033019418,-0.34930185731383645,-0.10482653730626801,-0.8607538274068709
hr_reactivity_mean_across_matches,Baseline mean,5.521489532783507,5.132772289384142,4.378731187719832,4.189300683287925,-0.39626385009243714,-1.2847378323499197,-0.3887172433993653,-0.18943050443190668,-0.8884739822574825
hr_reactivity_mean_across_matches,Elastic Net,5.521489532783507,5.132772289384142,4.378731187719832,4.189300683287925,-0.3962638500924369,-1.2847378323499195,-0.3887172433993653,-0.18943050443190668,-0.8884739822574825
hr_reactivity_mean_across_matches,Linear regression,6.15156070159042,5.690202190941814,4.970678913773945,4.182324856151989,-0.40104292745496595,-0.7250715522615201,-0.46135851064860667,-0.7883540576219561,-0.32402862480655414
hr_reactivity_mean_across_matches,Random Forest,5.718799626383223,5.145320676785012,4.618382679378205,4.028434156181121,-0.3592424647964832,-1.0360673645676923,-0.5734789495982113,-0.5899485231970836,-0.6768248997712092
hr_reactivity_mean_across_matches,XGBoost,5.538802907683175,5.089244648523441,4.370810092424909,4.113939746978209,-0.36586479102493924,-1.2341937180760791,-0.44955825915973424,-0.25687034544669984,-0.8683289270511398
hr_recovery_delta_mean_across_matches,Baseline mean,5.3941111722445765,5.433198646434434,4.591781012478761,4.524127918055594,0.3967283679991543,1.3698305169311689,0.039087474189857474,-0.06765309442316703,0.9731021489320146
hr_recovery_delta_mean_across_matches,Elastic Net,5.3941111722445765,5.433198646434434,4.591781012478761,4.524127918055594,0.39672836799915384,1.3698305169311686,0.039087474189857474,-0.06765309442316703,0.9731021489320149
hr_recovery_delta_mean_across_matches,Linear regression,6.27400995259989,5.836478052478214,5.318378472366988,4.4939394133000965,0.3771964956716199,0.9209677575040977,-0.43753190012167575,-0.8244390590668917,0.5437712618324777
hr_recovery_delta_mean_across_matches,Random Forest,5.725354669291971,5.372275581014649,4.8529840552125085,4.4055950690050505,0.2909248846913833,1.0223589629461631,-0.3530790882773216,-0.44738898620745804,0.7314340782547799
hr_recovery_delta_mean_across_matches,XGBoost,5.472507478631206,5.309959671711187,4.6254639432163955,4.365352116328922,0.39463088059768286,1.1854223289761103,-0.1625478069200188,-0.26011182688747336,0.7907914483784275
