target,model,condition,n,rmse,mae,mean_residual,sd_residual
hr_gameplay_sd_mean_across_matches,Baseline mean,0,30,0.8488331879029932,0.6394698061370323,0.04579772377707425,0.8620866922058023
hr_gameplay_sd_mean_across_matches,Baseline mean,1,29,0.8550016262518855,0.7039944934689256,-0.031135997160493017,0.869558418037806
hr_gameplay_sd_mean_across_matches,Elastic Net,0,30,0.8906564708073369,0.6900677735122799,0.06883585818791939,0.9031728976522903
hr_gameplay_sd_mean_across_matches,Elastic Net,1,29,0.8527630680697382,0.7095494919456675,0.004721814921938369,0.8678440875258298
hr_gameplay_sd_mean_across_matches,Linear regression,0,30,0.9948839042669345,0.7887724245605924,0.08036185221589606,1.008585193268538
hr_gameplay_sd_mean_across_matches,Linear regression,1,29,0.9303780519337355,0.7798180466134574,0.05887418271235868,0.9449485502579523
hr_gameplay_sd_mean_across_matches,Random Forest,0,30,0.8626549255969387,0.6752807762715659,0.01251867087854779,0.8773098400121627
hr_gameplay_sd_mean_across_matches,Random Forest,1,29,0.8538514253822622,0.7317021182273525,-0.05590031942338385,0.8671007709717575
hr_gameplay_sd_mean_across_matches,XGBoost,0,30,0.8588856174023219,0.6457795521213969,0.05327752237821889,0.8718861892213753
hr_gameplay_sd_mean_across_matches,XGBoost,1,29,0.8391547042127716,0.7037604400432218,0.0019535276339590736,0.8540058388608113
hr_peak_reactivity_mean_across_matches,Baseline mean,0,30,5.786630918868066,4.524930436843109,-0.3617584865376438,5.874042389038862
hr_peak_reactivity_mean_across_matches,Baseline mean,1,29,5.4802694994845504,4.484773513368655,-1.3046328245719983,5.416928895406339
hr_peak_reactivity_mean_across_matches,Elastic Net,0,30,5.786630918868066,4.524930436843109,-0.3617584865376438,5.874042389038862
hr_peak_reactivity_mean_across_matches,Elastic Net,1,29,5.4802694994845504,4.484773513368655,-1.3046328245719983,5.416928895406339
hr_peak_reactivity_mean_across_matches,Linear regression,0,30,6.499943287668269,5.1929581875839554,-0.34279781149570837,6.601861211183441
hr_peak_reactivity_mean_across_matches,Linear regression,1,29,6.04643846941886,4.546708185223135,-0.6819708759265616,6.11419800481058
hr_peak_reactivity_mean_across_matches,Random Forest,0,30,6.012420570240981,4.805487128212078,-0.3420961672912625,6.10529769889952
hr_peak_reactivity_mean_across_matches,Random Forest,1,29,5.503107990723293,4.332377658397441,-1.078551139938424,5.491899310045213
hr_peak_reactivity_mean_across_matches,XGBoost,0,30,5.791417430225826,4.518317231123991,-0.353237205612547,5.879456284475914
hr_peak_reactivity_mean_across_matches,XGBoost,1,29,5.442115572911989,4.413490693817723,-1.213991033019418,5.398884086879534
hr_reactivity_mean_across_matches,Baseline mean,0,30,5.521489532783507,4.378731187719832,-0.39626385009243714,5.601399605432472
hr_reactivity_mean_across_matches,Baseline mean,1,29,5.132772289384142,4.189300683287925,-1.2847378323499197,5.057346856049969
hr_reactivity_mean_across_matches,Elastic Net,0,30,5.521489532783507,4.378731187719832,-0.3962638500924369,5.601399605432473
hr_reactivity_mean_across_matches,Elastic Net,1,29,5.132772289384142,4.189300683287925,-1.2847378323499195,5.057346856049969
hr_reactivity_mean_across_matches,Linear regression,0,30,6.15156070159042,4.970678913773945,-0.40104292745496595,6.243412829619597
hr_reactivity_mean_across_matches,Linear regression,1,29,5.690202190941814,4.182324856151989,-0.7250715522615201,5.743715492105582
hr_reactivity_mean_across_matches,Random Forest,0,30,5.718799626383223,4.618382679378205,-0.3592424647964832,5.805076317613616
hr_reactivity_mean_across_matches,Random Forest,1,29,5.145320676785012,4.028434156181121,-1.0360673645676923,5.12913870940143
hr_reactivity_mean_across_matches,XGBoost,0,30,5.538802907683175,4.370810092424909,-0.36586479102493924,5.621186579072
hr_reactivity_mean_across_matches,XGBoost,1,29,5.089244648523441,4.113939746978209,-1.2341937180760791,5.024717944482039
hr_recovery_delta_mean_across_matches,Baseline mean,0,30,5.3941111722445765,4.591781012478761,0.3967283679991543,5.471465977095058
hr_recovery_delta_mean_across_matches,Baseline mean,1,29,5.433198646434434,4.524127918055594,1.3698305169311689,5.350744756935812
hr_recovery_delta_mean_across_matches,Elastic Net,0,30,5.3941111722445765,4.591781012478761,0.39672836799915384,5.4714659770950576
hr_recovery_delta_mean_across_matches,Elastic Net,1,29,5.433198646434434,4.524127918055594,1.3698305169311686,5.350744756935812
hr_recovery_delta_mean_across_matches,Linear regression,0,30,6.27400995259989,5.318378472366988,0.3771964956716199,6.3697228615869115
hr_recovery_delta_mean_across_matches,Linear regression,1,29,5.836478052478214,4.4939394133000965,0.9209677575040977,5.8653721686638916
hr_recovery_delta_mean_across_matches,Random Forest,0,30,5.725354669291971,4.8529840552125085,0.2909248846913833,5.815708407110451
hr_recovery_delta_mean_across_matches,Random Forest,1,29,5.372275581014649,4.4055950690050505,1.0223589629461631,5.367453789169125
hr_recovery_delta_mean_across_matches,XGBoost,0,30,5.472507478631206,4.6254639432163955,0.39463088059768286,5.551570567315396
hr_recovery_delta_mean_across_matches,XGBoost,1,29,5.309959671711187,4.365352116328922,1.1854223289761103,5.267565590132548
